FileName                                          	  |  Support| Confidence
RouteProvider.cs                                  |  3      | 1.75      
RoutesTests.cs                                    |  3      | 1.75      
RoxyFilemanController.cs                          |  2      | 1.17      
SavedStar.png                                     |  1      | 0.58      
Search.cshtml                                     |  3      | 1.75      
SearchModel.cs                                    |  2      | 1.17      
SecuritySettings.cs                               |  3      | 1.75      
SeNames.cshtml                                    |  2      | 1.17      
SeoSettings.cs                                    |  2      | 1.17      
SettingController.cs                              |  29     | 16.96     
Shipment.cs                                       |  1      | 0.58      
ShipmentDetails.cshtml                            |  9      | 5.26      
ShipmentDetails.Mobile.cshtml                     |  1      | 0.58      
ShipmentDetailsModel.cs                           |  1      | 0.58      
ShipmentItem.cs                                   |  1      | 0.58      
ShipmentItemPersistenceTests.cs                   |  1      | 0.58      
ShipmentList.cshtml                               |  6      | 3.51      
ShipmentListModel.cs                              |  2      | 1.17      
ShipmentModel.cs                                  |  8      | 4.68      
ShipmentPersistenceTests.cs                       |  1      | 0.58      
ShipmentService.cs                                |  3      | 1.75      
Shipping.cshtml                                   |  5      | 2.92      
ShippingAddress.cshtml                            |  3      | 1.75      
ShippingAddress.Mobile.cshtml                     |  1      | 0.58      
ShippingAustraliaPostController.cs                |  1      | 0.58      
ShippingByWeightController.cs                     |  1      | 0.58      
ShippingCanadaPostController.cs                   |  1      | 0.58      
ShippingController.cs                             |  1      | 0.58      
ShippingFedexController.cs                        |  1      | 0.58      
ShippingFixedRateController.cs                    |  1      | 0.58      
ShippingMethod.cshtml                             |  1      | 0.58      
ShippingService.cs                                |  3      | 1.75      
ShippingSettings.cs                               |  4      | 2.34      
ShippingSettingsModel.cs                          |  4      | 2.34      
ShippingUPSController.cs                          |  1      | 0.58      
ShippingUSPSController.cs                         |  1      | 0.58      
ShoppingCart.cshtml                               |  1      | 0.58      
ShoppingCartController.cs                         |  11     | 6.43      
ShoppingCartItem.cs                               |  2      | 1.17      
ShoppingCartItemPeristenceTests.cs                |  1      | 0.58      
ShoppingCartModel.cs                              |  2      | 1.17      
ShoppingCartService.cs                            |  4      | 2.34      
sitemap.config                                    |  4      | 2.34      
Sitemap.cshtml                                    |  2      | 1.17      
sitemap.xml                                       |  1      | 0.58      
SitemapModel.cs                                   |  1      | 0.58      
SiteMapNode.cs                                    |  1      | 0.58      
SmsVerizonController.cs                           |  1      | 0.58      
SmsVerizonModel.cs                                |  1      | 0.58      
SpecificationAttributeType.cs                     |  1      | 0.58      
SqlFileInstallationService.cs                     |  1      | 0.58      
SqlServer.Indexes.sql                             |  2      | 1.17      
SqlServer.StoredProcedures.sql                    |  1      | 0.58      
StandardPermissionProvider.cs                     |  1      | 0.58      
StateCreatePopup.cshtml                           |  1      | 0.58      
StateEditPopup.cshtml                             |  1      | 0.58      
StateProvinceService.cs                           |  1      | 0.58      
Store.cs                                          |  1      | 0.58      
StoreClosedAttribute.cs                           |  1      | 0.58      
StoreInformationSettings.cs                       |  2      | 1.17      
StoreMap.cs                                       |  1      | 0.58      
StoreMappingService.cs                            |  1      | 0.58      
StoreModel.cs                                     |  1      | 0.58      
StorePersistenceTests.cs                          |  1      | 0.58      
styles.css                                        |  18     | 10.53     
styles.rtl.css                                    |  14     | 8.19      
SubscriptionService.cs                            |  1      | 0.58      
SystemCustomerAttributeNames.cs                   |  3      | 1.75      
tab.png                                           |  1      | 0.58      
tab-line.png                                      |  1      | 0.58      
Tax.cshtml                                        |  1      | 0.58      
TaxCountryStateZipController.cs                   |  1      | 0.58      
TaxService.cs                                     |  1      | 0.58      
TaxServiceTests.cs                                |  2      | 1.17      
TemplateController.cs                             |  1      | 0.58      
TestMessageTemplateModel.cs                       |  1      | 0.58      
TestMessageTemplateValidator.cs                   |  1      | 0.58      
TestTemplate.cshtml                               |  2      | 1.17      
theme.config                                      |  1      | 0.58      
ThemeableVirtualPathProviderViewEngine.cs         |  1      | 0.58      
ThemeConfiguration.cs                             |  1      | 0.58      
ThemeContext.cs                                   |  1      | 0.58      
Topic.cs                                          |  5      | 2.92      
TopicController.cs                                |  3      | 1.75      
TopicModel.cs                                     |  6      | 3.51      
TopicPersistenceTests.cs                          |  5      | 2.92      
TopicService.cs                                   |  3      | 1.75      
TopicTemplate.cs                                  |  1      | 0.58      
TopicTemplateMap.cs                               |  1      | 0.58      
TopicTemplateModel.cs                             |  1      | 0.58      
TopicTemplatePersistenceTests.cs                  |  1      | 0.58      
TopicTemplates.cshtml                             |  2      | 1.17      
TopicTemplateService.cs                           |  1      | 0.58      
TopicTemplateValidator.cs                         |  1      | 0.58      
TopMenu.cshtml                                    |  4      | 2.34      
TopMenuModel.cs                                   |  2      | 1.17      
Tree.cshtml                                       |  1      | 0.58      
upgrade.sql                                       |  162    | 94.74     
UploadLicenseFilePopup.cshtml                     |  1      | 0.58      
UrlRecordModel.cs                                 |  1      | 0.58      
UserAgreement.cshtml                              |  1      | 0.58      
ValueCreatePopup.cshtml                           |  4      | 2.34      
ValueEditPopup.cshtml                             |  4      | 2.34      
Vendor.cs                                         |  1      | 0.58      
Vendor.cshtml                                     |  6      | 3.51      
Vendor.Mobile.cshtml                              |  1      | 0.58      
VendorAll.cshtml                                  |  1      | 0.58      
VendorAll.Mobile.cshtml                           |  1      | 0.58      
VendorController.cs                               |  2      | 1.17      
VendorListModel.cs                                |  1      | 0.58      
VendorMap.cs                                      |  1      | 0.58      
VendorModel.cs                                    |  3      | 1.75      
VendorNavigation.cshtml                           |  1      | 0.58      
VendorNavigation.Mobile.cshtml                    |  1      | 0.58      
VendorPersistenceTests.cs                         |  1      | 0.58      
VendorService.cs                                  |  2      | 1.17      
VendorSettings.cs                                 |  2      | 1.17      
VendorSettingsModel.cs                            |  2      | 1.17      
VerizonSMSProvider.cs                             |  1      | 0.58      
View.cshtml                                       |  1      | 0.58      
Warehouse.cs                                      |  1      | 0.58      
WarehouseModel.cs                                 |  1      | 0.58      
WarehousePersistenceTests.cs                      |  2      | 1.17      
Warehouses.cshtml                                 |  1      | 0.58      
Web.config                                        |  2      | 1.17      
WebHelper.cs                                      |  1      | 0.58      
WebViewPage.cs                                    |  1      | 0.58      
WebWorkContext.cs                                 |  1      | 0.58      
Weights.cshtml                                    |  1      | 0.58      
WidgetsGoogleAnalyticsController.cs               |  1      | 0.58      
WidgetsNivoSliderController.cs                    |  1      | 0.58      
Wishlist.cshtml                                   |  3      | 1.75      
WishlistModel.cs                                  |  2      | 1.17      
WorkflowMessageService.cs                         |  7      | 4.09      
XmlSiteMap.cs                                     |  1      | 0.58      
----------Done----------
